id,nombre,horasTrabajadas,sueldo
93,Nicky,42000,180
94,My,18000,90
95,Kyrstin,37000,90
96,Martino,15000,75
97,Marcellus,50000,88
98,Jacquelin,30000,120
99,Aleda,50000,90
100,Georgeta,10000,88
101,Marcille,10000,88
102,Ertha,10000,88
103,Desiri,25000,120
104,Geneva,33000,90
105,Kilian,42000,120
106,Nance,10000,75
107,Gaven,10000,180
108,Carlie,10000,220
109,Trixie,42000,325
110,Dominick,30000,75
111,Petey,15000,120
112,Tersina,30000,75
113,Johnathon,15000,90
114,Freddie,12000,180
115,Harmon,50000,220
116,Tracey,20000,75
117,Cherrita,33000,180
118,Stu,12000,60
119,Glenda,37000,220
120,Lorettalorna,25000,220
121,Patrizio,15000,60
122,Linda,30000,88
123,Pippa,20000,325
124,Pen,18000,60
125,Esteban,15000,88
126,Fonzie,15000,325
127,Cindelyn,12000,60
128,Zacharie,30000,75
129,Vina,42000,88
130,Omero,10000,75
131,Tom,33000,75
132,Dante,30000,60
133,Cordy,18000,120
134,Stephenie,50000,220
135,Dunstan,20000,325
136,Gideon,15000,180
137,Johnette,10000,220
138,Brynn,50000,75
139,Yankee,42000,88
140,Corbin,42000,120
141,Coreen,18000,60
142,Tanya,30000,88
143,Jenna,25000,60
144,Flora,33000,90
145,Dianna,20000,90
146,Armand,15000,60
147,Gustie,42000,180
148,Benton,12000,180
149,Lena,25000,325
150,Dot,18000,180
151,Meryl,12000,220
152,Babbie,15000,120
153,Byram,42000,90
154,Bertine,25000,60
155,Osbert,42000,120
156,Tanny,42000,325
157,Maryjo,12000,60
158,Clarie,42000,60
159,Kipp,15000,90
160,Leonie,50000,325
161,Ferdie,15000,120
162,Ofella,50000,90
163,Pascale,15000,220
164,Cathrin,30000,120
165,Sib,33000,60
166,Darleen,42000,220
167,Didi,15000,60
168,Lodovico,18000,60
169,Farley,12000,325
170,Devi,25000,60
171,Clair,37000,180
172,Addy,33000,325
173,Brandon,18000,90
174,Prentiss,30000,60
175,Lorant,50000,88
176,Wanids,30000,325
177,Robbi,10000,75
178,Mellicent,50000,75
179,Lynea,20000,90
180,Nial,15000,325
181,Guillaume,37000,60
182,Loutitia,25000,88
183,Ruthe,30000,325
184,Eric,50000,60
185,Marcellus,30000,180
186,Ian,42000,75
187,Sebastien,37000,75
188,Scarface,50000,220
189,Maible,18000,75
190,Waldon,30000,90
191,Bethina,15000,75
192,Farand,42000,88
193,Zolly,25000,88
194,Philipa,42000,325
195,Roderigo,20000,88
196,Otho,20000,90
197,Alasteir,20000,120
198,Eleonora,42000,120
199,Eliot,12000,60
200,Alana,30000,220
201,Odey,20000,60
202,Yorke,15000,88
203,Cissiee,18000,180
204,Jillana,18000,180
205,Mallorie,30000,88
206,Borden,12000,88
207,Maddie,33000,60
208,Weider,50000,88
209,Asia,37000,325
210,Sayres,10000,88
211,Marcile,30000,120
212,Thomasina,42000,60
213,Darwin,18000,220
214,Nicolina,30000,90
215,Nita,12000,60
216,Nikoletta,12000,120
217,Dwight,42000,220
218,Romola,50000,88
219,Kaile,33000,325
220,Mozes,25000,220
221,Aylmer,33000,325
222,Marina,12000,120
223,Enrico,50000,325
224,Zonda,33000,325
225,Adriano,33000,220
226,Trula,30000,88
227,Adel,30000,180
228,Jeniece,15000,180
229,Tabina,10000,60
230,Liana,33000,60
231,Marmaduke,10000,220
232,Alla,30000,88
233,Peter,12000,120
234,Pietro,18000,75
235,Hiram,20000,88
236,Anastasia,18000,180
237,Cathleen,10000,180
238,Leeanne,15000,120
239,Chet,42000,325
240,Billie,37000,75
241,Alexandra,42000,75
242,Broddie,42000,90
243,Brigham,25000,180
244,Cal,42000,120
245,Donal,18000,75
246,Adam,20000,220
247,Dotty,42000,180
248,Maynard,18000,120
249,Jessee,30000,90
250,Tiphani,42000,88
251,Jenna,30000,180
252,Karlotte,20000,88
253,Norene,25000,220
254,Morris,10000,88
255,Yuri,25000,75
256,Gusty,10000,120
257,Jori,12000,180
258,Sydelle,30000,220
259,Merrile,50000,180
260,Tadd,50000,60
261,Josiah,10000,88
262,Melisa,12000,88
263,Orelee,20000,90
264,Stephen,37000,120
265,Blair,50000,180
266,Arel,30000,88
267,Abbie,25000,75
268,Channa,50000,325
269,Shirl,20000,75
270,Edlin,20000,88
271,Larina,18000,60
272,Duncan,37000,60
273,Bond,10000,180
274,Dyann,50000,75
275,Charmian,15000,60
276,Dru,50000,75
277,Kiel,50000,75
278,Emory,15000,220
279,Alberik,50000,88
280,Koenraad,20000,180
281,Rafaellle,50000,180
282,Edie,25000,325
283,Osbert,15000,325
284,Sidonia,10000,60
285,Bartel,37000,60
286,Jodi,30000,90
287,Ofelia,30000,120
288,Dudley,42000,90
289,Dulcea,25000,75
290,Gordon,25000,60
291,Chalmers,10000,220
292,Christiano,50000,60
293,Russell,50000,220
294,Cleo,50000,120
295,Catriona,42000,60
296,Leigh,37000,90
297,Ddene,12000,220
298,Sayre,18000,90
299,Jody,33000,180
300,Zabrina,12000,88
301,Cos,30000,75
302,Ron,20000,120
303,Charin,12000,180
304,Coleman,33000,220
305,Jacinda,50000,60
306,Silvan,12000,75
307,Renie,33000,90
308,Davide,42000,325
309,Ernestus,12000,60
310,Brnaba,37000,90
311,Tabor,37000,120
312,Lenci,42000,90
313,Franchot,12000,220
314,Charisse,50000,180
315,Timothea,20000,220
316,Angelika,50000,220
317,Web,37000,90
318,Urban,10000,88
319,Fan,18000,90
320,Donaugh,12000,120
321,Wilona,25000,90
322,Richard,42000,90
323,Hilary,37000,90
324,Ad,33000,90
325,Maynord,42000,220
326,Lina,12000,120
327,Nerty,20000,220
328,Matias,33000,60
329,Urbano,50000,60
330,Rosemarie,33000,220
331,Booth,15000,88
332,Eden,18000,75
333,Cornie,15000,75
334,Isak,20000,220
335,Rand,20000,88
336,Dominique,37000,220
337,Lira,30000,60
338,Filbert,20000,325
339,Nona,30000,75
340,Melloney,33000,325
341,Rafaello,37000,180
342,Floria,12000,60
343,Johannes,18000,88
344,Genevra,10000,90
345,Aldric,50000,220
346,Janeta,10000,120
347,Tarra,12000,75
348,Jefferey,33000,220
349,Cassie,50000,88
350,Maiga,20000,120
351,Heddi,20000,325
352,Marieann,50000,325
353,Carita,42000,180
354,Kurtis,50000,88
355,Wilfred,20000,180
356,Isabelle,20000,120
357,Nisse,37000,220
358,Ula,50000,75
359,Tully,18000,88
360,Honor,30000,120
361,Sinclair,50000,60
362,Buddy,50000,120
363,Neilla,50000,180
364,Junie,20000,90
365,Neely,20000,120
366,Klarrisa,18000,180
367,Maryellen,37000,120
368,Clywd,33000,220
369,Deni,42000,60
370,Ingrim,30000,120
371,Franni,42000,325
372,Andy,37000,75
373,Veronica,42000,75
374,Dalis,42000,60
375,Nanni,25000,180
376,Vikky,15000,90
377,Hussein,25000,325
378,Brigg,10000,220
379,Crawford,12000,180
380,Fran,30000,220
381,Silas,15000,90
382,Alister,33000,90
383,George,15000,325
384,Nonnah,25000,120
385,Gayel,20000,90
386,Demeter,10000,88
387,Juliann,50000,90
388,Shauna,25000,120
389,Anna-maria,42000,120
390,Ag,50000,88
391,Sherwin,50000,88
392,Vikki,33000,88
393,Barret,10000,60
394,Gaelan,25000,90
395,Livy,20000,60
396,Iorgos,18000,90
397,Charil,33000,88
398,Easter,30000,88
399,Esdras,37000,120
400,Prince,25000,60
401,Vail,33000,120
402,Rachel,12000,325
403,Bar,20000,88
404,Willa,30000,325
405,Amerigo,33000,88
406,Fredric,50000,325
407,Mikael,50000,220
408,Benson,20000,120
409,Sileas,20000,120
410,Fidelia,12000,60
411,Frayda,30000,60
412,Babita,30000,90
413,Clair,42000,75
414,Morie,12000,180
415,Skylar,20000,325
416,Dennie,42000,75
417,Sibley,20000,60
418,Addia,20000,75
419,Ed,18000,180
420,Lothaire,12000,180
421,Neila,15000,120
422,Jennifer,15000,220
423,Keelby,15000,325
424,Chuck,33000,325
425,Jordan,33000,90
426,Minnnie,20000,180
427,Carine,33000,180
428,Kelly,37000,325
429,Coleman,25000,90
430,Pincus,42000,88
431,Smitty,15000,220
432,Wade,12000,325
433,Emmit,12000,180
434,Brietta,42000,75
435,Wesley,10000,60
436,Felicdad,18000,120
437,Any,18000,60
438,Gardie,12000,90
439,Leelah,25000,325
440,Garold,20000,60
441,Regine,10000,180
442,Tam,20000,220
443,Davon,20000,220
444,Chrissy,18000,180
445,Ozzie,20000,120
446,Rina,20000,325
447,Guy,42000,180
448,Lenora,18000,60
449,Julietta,42000,220
450,Alexandr,18000,220
451,Margalit,15000,75
452,Samara,50000,88
453,Portie,15000,220
454,Korella,33000,325
455,Hilly,30000,325
456,Leeanne,10000,75
457,Arnaldo,10000,180
458,Kassi,37000,325
459,Karen,20000,60
460,Mac,20000,325
461,Anthia,37000,60
462,Marsiella,20000,120
463,Shea,12000,120
464,Liana,15000,90
465,Carley,12000,120
466,Carlye,37000,120
467,Svend,25000,60
468,Kendell,25000,90
469,Chrisy,15000,60
470,Rod,50000,75
471,Ramsay,20000,90
472,Saidee,50000,325
473,Erek,10000,180
474,Salomi,10000,60
475,Coletta,50000,90
476,Abigael,12000,90
477,Mariele,33000,60
478,Brooke,20000,88
479,Benita,25000,90
480,Marissa,37000,90
481,Lionello,37000,60
482,Tori,42000,120
483,Micheil,37000,220
484,Kym,20000,120
485,Melisse,10000,220
486,Bartholomew,33000,120
487,Rorie,25000,220
488,Hedvige,37000,220
489,Dorothea,15000,75
490,Tamarah,50000,88
491,Skipton,10000,75
492,Minny,33000,90
493,Joshia,33000,75
494,Mirilla,30000,180
495,Willey,15000,220
496,Conrado,50000,220
497,Fredia,30000,220
498,Gretchen,12000,180
499,Bibbie,37000,60
500,Warren,25000,220
501,Gabi,30000,220
502,Callie,50000,220
503,Patton,15000,60
504,Karie,25000,75
505,Martguerita,50000,90
506,Lothaire,20000,60
507,Patrice,37000,220
508,Lin,12000,120
509,Cornie,42000,180
510,Irena,20000,180
511,Markos,20000,60
512,Bird,18000,75
513,Lorna,42000,325
514,Vincents,25000,90
515,Torrey,42000,325
516,Pernell,50000,325
517,Danya,25000,180
518,Erda,37000,325
519,Ethe,20000,325
520,Coop,37000,90
521,Sheridan,50000,120
522,Charles,42000,180
523,Eddy,12000,88
524,Janey,42000,120
525,Edan,20000,88
526,Homer,10000,325
527,Eveline,37000,325
528,Helen-elizabeth,20000,220
529,Daveta,20000,180
530,Mort,42000,90
531,Maxi,37000,75
532,Nathalie,37000,120
533,Dennison,25000,325
534,Bunnie,33000,120
535,Frans,33000,88
536,Delmar,42000,325
537,Ced,20000,90
538,Caren,12000,75
539,Christie,18000,88
540,Saunders,25000,325
541,Deny,18000,180
542,Gene,15000,90
543,Margeaux,18000,220
544,Prisca,18000,180
545,Domini,18000,88
546,Henrie,50000,75
547,Marj,18000,120
548,Mab,25000,120
549,Josiah,12000,120
550,Mathe,12000,180
551,Gauthier,12000,88
552,Delmore,33000,180
553,Lynett,37000,120
554,Lucais,42000,90
555,Clarice,33000,180
556,Aeriela,37000,120
557,Babbie,15000,75
558,Caren,15000,90
559,Jessamine,18000,325
560,Hesther,15000,88
561,Sasha,15000,88
562,Erica,10000,120
563,Keith,10000,120
564,Briney,12000,88
565,Rutherford,15000,90
566,Lemmie,18000,325
567,Dur,25000,220
568,Modesta,33000,120
569,Carter,33000,88
570,Retha,15000,220
571,Carma,33000,220
572,Antonella,15000,90
573,Sutherlan,10000,75
574,Phillipe,37000,88
575,Florida,37000,180
576,Corrina,15000,75
577,Adrianne,10000,220
578,Scarlett,20000,325
579,Shel,25000,120
580,Delaney,50000,88
581,Tiphani,33000,220
582,Grier,42000,88
583,Annabell,15000,180
584,Basil,12000,120
585,Horatius,18000,180
586,Umeko,30000,220
587,Hayes,10000,220
588,Lynnette,37000,220
589,Hesther,33000,180
590,Trumaine,15000,325
591,Emlyn,50000,325
592,Corabelle,37000,220
593,Vic,25000,220
594,Cyndia,33000,88
595,Gray,42000,120
596,Dylan,30000,120
597,Isabelle,20000,60
598,Eachelle,37000,180
599,Howard,18000,88
600,Cornall,18000,75
601,Emmalee,18000,90
602,Brian,20000,180
603,Cahra,50000,325
604,Arvin,50000,220
605,Minda,15000,90
606,Dedie,33000,88
607,Lydia,15000,325
608,Joshia,25000,220
609,Bernita,15000,325
610,Sayre,33000,90
611,Pearla,20000,220
612,Fidole,30000,75
613,Evin,12000,325
614,Fredia,20000,60
615,Idalina,50000,120
616,Hetti,30000,75
617,Kirk,30000,180
618,Orson,25000,180
619,Lyndsay,42000,180
620,Lissy,37000,60
621,Odessa,50000,120
622,Hestia,18000,180
623,Dorotea,10000,88
624,Giraud,15000,90
625,Tonya,37000,180
626,Menard,37000,88
627,Nicola,12000,75
628,Maddy,25000,60
629,Mace,18000,88
630,Lyndy,37000,180
631,Ivonne,20000,90
632,Josepha,20000,88
633,Shandra,50000,120
634,Viva,25000,88
635,Sherwin,10000,180
636,Abigail,18000,90
637,Rosalia,18000,60
638,Merissa,25000,60
639,Marylee,50000,60
640,Wolfy,33000,120
641,Maia,10000,220
642,Elinor,33000,60
643,Neron,42000,180
644,Malachi,25000,60
645,Sarajane,10000,60
646,Arlie,42000,88
647,Felike,12000,220
648,Ethan,12000,90
649,Ruthy,20000,180
650,Hugo,30000,60
651,Thorndike,10000,220
652,Cesaro,30000,325
653,Harmonia,12000,75
654,Damara,12000,180
655,Maddy,25000,88
656,Filmer,50000,90
657,Boothe,12000,75
658,Dorrie,42000,120
659,Willdon,10000,220
660,Cindi,12000,325
661,Shermie,12000,120
662,Byrom,42000,180
663,Millie,15000,90
664,Natassia,42000,325
665,Wheeler,25000,60
666,Caritta,12000,88
667,Kennan,12000,120
668,Katina,20000,180
669,Beverlee,25000,60
670,Arlette,30000,220
671,Jacqueline,50000,90
672,Sheila-kathryn,10000,90
673,Lambert,42000,325
674,Lamont,33000,220
675,Immanuel,33000,75
676,Nani,50000,220
677,Galen,50000,60
678,Nilson,10000,88
679,Tomi,50000,60
680,Flore,30000,75
681,Burgess,12000,120
682,Tally,42000,75
683,Jaquenette,25000,60
684,Sly,42000,60
685,Yul,30000,60
686,Rosalyn,37000,325
687,Devondra,10000,75
688,Xenos,37000,88
689,Terrence,42000,75
690,Krystyna,50000,60
691,Krishna,50000,325
692,Zorina,18000,75
693,Baxy,20000,120
694,Terrie,42000,75
695,Justino,18000,220
696,Erhard,33000,75
697,Robbie,30000,120
698,Paddie,33000,90
699,Evelyn,10000,75
700,Abbot,33000,90
701,Tedra,33000,90
702,Rikki,12000,90
703,Alverta,25000,90
704,Pauly,30000,120
705,Ariella,12000,60
706,Lia,20000,120
707,Petronille,42000,75
708,Merle,10000,325
709,Hagan,50000,120
710,Nikolaus,30000,88
711,Cinda,42000,120
712,Matelda,18000,120
713,Roslyn,25000,120
714,Jerrylee,10000,180
715,Lucky,42000,325
716,Elita,18000,90
717,Hyacinthia,25000,90
718,Fina,42000,220
719,Kamila,42000,88
720,Jennie,42000,88
721,Riobard,42000,180
722,Joannes,10000,325
723,Darlene,42000,180
724,Zia,42000,75
725,Cristina,15000,90
726,Jonathon,50000,220
727,Rickie,42000,220
728,Klara,50000,180
729,Osbert,33000,75
730,Emmet,37000,90
731,Cassandry,33000,60
732,Enrica,18000,325
733,Evvy,42000,75
734,Silas,20000,180
735,Kaia,25000,180
736,Arvie,15000,325
737,Keith,20000,180
738,Silvie,12000,120
739,Winnifred,10000,75
740,Chen,37000,325
741,Carleton,15000,75
742,Silvano,12000,220
743,Pancho,18000,88
744,Melonie,33000,90
745,Gordon,12000,325
746,Rosemarie,10000,75
747,Graehme,18000,90
748,Mitchael,33000,90
749,Carola,10000,325
750,Zsa zsa,20000,180
751,Jude,12000,180
752,Arch,33000,180
753,Andrej,50000,88
754,Amber,42000,325
755,Dorian,15000,325
756,Kaitlynn,15000,88
757,Kerianne,37000,220
758,Boycie,18000,88
759,Nanete,37000,90
760,Sidonia,10000,120
761,Galvan,33000,120
762,Lucienne,25000,75
763,Davidson,37000,75
764,Roslyn,10000,180
765,Jenny,33000,180
766,Toby,20000,88
767,Brynne,18000,325
768,Blakeley,18000,325
769,Egan,10000,325
770,Barbey,20000,325
771,Portia,33000,60
772,Alica,37000,60
773,Juliana,50000,180
774,Barde,18000,88
775,Wilie,30000,90
776,Letta,10000,220
777,Ree,42000,90
778,Ingmar,18000,75
779,Melva,42000,120
780,Tootsie,25000,88
781,Felike,33000,75
782,Laughton,15000,325
783,Crosby,12000,60
784,Marianne,33000,60
785,Francine,42000,120
786,Edan,50000,60
787,Fayre,18000,120
788,Adelaida,37000,180
789,Florella,25000,220
790,Noll,30000,120
791,Ki,42000,60
792,Jermayne,33000,75
793,Grayce,33000,325
794,Harv,42000,325
795,Lorianna,15000,60
796,Hersh,33000,180
797,Diahann,33000,88
798,Yelena,50000,180
799,Emmaline,37000,88
800,Daffi,12000,90
801,Janine,50000,60
802,Sheilah,42000,180
803,Lazaro,10000,220
804,Earle,30000,90
805,Fred,25000,88
806,Almira,42000,220
807,Wini,37000,88
808,Emanuel,30000,75
809,Obadias,10000,220
810,Efrem,20000,325
811,Susi,18000,60
812,Maxy,15000,60
813,Agnes,42000,88
814,Obadiah,12000,60
815,Lefty,50000,220
816,Michele,42000,88
817,Cynthia,25000,88
818,Hyatt,20000,220
819,Roch,33000,220
820,Mag,12000,88
821,Trevor,10000,180
822,Jefferey,10000,75
823,Tania,42000,325
824,Mercie,42000,90
825,Andrei,10000,325
826,Yetta,25000,120
827,Angeli,20000,90
828,Norbert,20000,90
829,Conan,20000,180
830,Cale,50000,60
831,Christina,37000,60
832,Olivier,20000,325
833,Oby,12000,325
834,Chad,15000,75
835,Adelle,10000,60
836,Keene,25000,60
837,Corrina,50000,75
838,Hashim,50000,88
839,Oralia,10000,325
840,Wadsworth,30000,325
841,Shelley,15000,60
842,Irv,15000,120
843,Grant,33000,220
844,Bella,18000,88
845,Yardley,50000,60
846,Brendin,10000,120
847,Estella,42000,220
848,Rasia,37000,60
849,Gibb,20000,180
850,Amanda,37000,325
851,Sidoney,20000,220
852,Giacopo,18000,90
853,Eve,12000,180
854,Levon,25000,120
855,Vassili,33000,120
856,Henrieta,30000,180
857,Devlen,37000,120
858,Ophelie,37000,120
859,Abramo,37000,325
860,Fair,37000,60
861,Pietrek,25000,325
862,Holden,50000,180
863,Cherish,42000,90
864,Alonzo,12000,325
865,Devonna,18000,60
866,Rubi,18000,60
867,Emmanuel,30000,220
868,Trumaine,42000,88
869,Malory,42000,220
870,Pearla,33000,220
871,Phelia,33000,60
872,Madonna,10000,120
873,Thomasa,18000,90
874,Estella,20000,325
875,Saw,15000,60
876,Cecil,37000,75
877,Mac,25000,60
878,Ralf,12000,120
879,Barbey,12000,325
880,Josi,18000,120
881,Kenna,25000,120
882,Rina,25000,75
883,Callida,33000,88
884,Lona,30000,220
885,Jan,18000,90
886,Bailey,30000,88
887,Guillermo,42000,75
888,Katlin,25000,88
889,Flo,42000,325
890,Madel,12000,180
891,Conant,37000,75
892,Devland,10000,60
893,Annamarie,20000,120
894,Gabbie,42000,220
895,Frasquito,15000,90
896,Oberon,15000,88
897,Gabriell,10000,120
898,Ki,30000,220
899,Martelle,15000,120
900,Riccardo,42000,90
901,Shaughn,50000,180
902,Coral,18000,120
903,Judas,10000,120
904,Josiah,12000,325
905,Freda,42000,60
906,Lynn,37000,325
907,Tabb,50000,325
908,Brittany,18000,180
909,Leo,42000,88
910,Atlante,33000,120
911,Maurie,50000,180
912,Oren,20000,120
913,Anetta,10000,60
914,Curry,20000,88
915,Tyrone,15000,180
916,Saunder,37000,180
917,Luis,12000,60
918,Alysia,37000,325
919,Calypso,12000,90
920,Gretna,42000,220
921,Odie,20000,90
922,Wenda,12000,90
923,Ezekiel,20000,75
924,Orlan,25000,60
925,Wittie,37000,90
926,Abbie,18000,90
927,Robinia,10000,120
928,Hayden,30000,180
929,Melody,20000,60
930,Emory,37000,325
931,Callie,10000,75
932,Debby,18000,180
933,Gui,20000,325
934,Dorette,37000,120
935,Jillane,37000,90
936,Carolina,33000,88
937,Randy,15000,120
938,Arabel,50000,180
939,Verina,37000,75
940,Josefina,30000,90
941,Nina,25000,120
942,Vernen,18000,120
943,Loria,25000,180
944,Isabeau,37000,88
945,Cherice,15000,220
946,Kimberley,18000,325
947,Martyn,25000,180
948,Agustin,25000,75
949,Clerissa,15000,120
950,Lonna,10000,120
951,Wake,25000,220
952,Edwina,42000,75
953,Lacey,50000,75
954,Laetitia,33000,90
955,Delila,20000,325
956,Sioux,12000,120
957,Floyd,15000,75
958,Trista,50000,75
959,Shaughn,15000,90
960,Zitella,42000,120
961,Ginnie,15000,180
962,Burty,12000,60
963,Arley,33000,120
964,Ansley,37000,75
965,Kirstin,12000,180
966,Karon,10000,88
967,Esme,37000,120
968,Berenice,10000,325
969,Charlie,50000,325
970,Noach,12000,325
971,Mercedes,12000,180
972,Sloan,42000,325
973,Guglielma,15000,120
974,Herrick,30000,75
975,Aleksandr,42000,88
976,Arlina,33000,325
977,Wenonah,12000,325
978,Warner,30000,90
979,Libbey,42000,120
980,Brana,10000,60
981,Genevieve,20000,180
982,Sharai,10000,75
983,Josi,12000,120
984,Pebrook,33000,60
985,Erna,33000,325
986,Ferd,25000,88
987,Mohammed,42000,220
988,Dawn,37000,180
989,Wandie,25000,60
990,Chiarra,18000,325
991,Zaccaria,33000,88
992,Trenna,10000,90
993,Angelia,50000,60
994,Raquela,12000,180
995,Maxi,18000,325
996,Atalanta,37000,90
997,De witt,12000,88
998,Jaye,25000,75
999,Tamarra,15000,60
1000,Saleem,20000,60
